Portfolio,Feedstock,Commodity,Commodity Unit,Unit Code,Buildout,Use,Weight
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Biomethane,Electricity,Megawatts,MW,0,Power Grid,1
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,17590.909090909092,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,17590.909090909092,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,35181.818181818184,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,35181.818181818184,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,52772.72727272728,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,52772.72727272728,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,70363.63636363637,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,70363.63636363637,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,87954.54545454546,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,87954.54545454546,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,105545.45454545454,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,105545.45454545454,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,123136.36363636363,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,123136.36363636363,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,140727.27272727274,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,140727.27272727274,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,158318.18181818182,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,158318.18181818182,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,175909.0909090909,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,175909.0909090909,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Solar,Hydrogen,Metric Tons,MT,193500,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,1000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,1000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,2000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,2000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,3000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,3000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,4000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,4000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,5000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,5000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,6000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,6000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,7000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,7000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,8000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,8000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,9000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,9000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,10000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,10000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Natural Gas + CCS,Hydrogen,Metric Tons,MT,11000,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,975,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,975,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,1950,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,1950,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,2925,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,2925,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,3900,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,3900,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,4875,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,4875,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,5850,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,5850,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,6825,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,6825,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,7800,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,7800,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,8775,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,8775,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,9750,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,9750,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Agricultural waste,Hydrogen,Metric Tons,MT,10725,Ammonia Production,0.5
Current Projects 1.29.2024,Forest waste,Hydrogen,Metric Tons,MT,161,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Forest waste,Hydrogen,Metric Tons,MT,161,Ammonia Production,0.5
Current Projects 1.29.2024,Forest waste,Hydrogen,Metric Tons,MT,322,Surface Transport Fuel,0.5
Current Projects 1.29.2024,Forest waste,Hydrogen,Metric Tons,MT,322,Ammonia Production,0.5
