Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Land,Land Consumed,High,acres,0.08196,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Land,Land Consumed,High,acres,0.08196,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Land,Land Consumed,High,acres,0.08196,819.6
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Land,Land Consumed,High,acres,0.08196,819.6
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,Land,Land Consumed,High,acres,4.2,105
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,Land,Land Consumed,High,acres,4.2,210
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,Land,Land Consumed,High,acres,4.2,315
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,Land,Land Consumed,High,acres,4.2,420
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,Land,Land Consumed,High,acres,4.2,525
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,Land,Land Consumed,High,acres,4.2,630
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,Land,Land Consumed,High,acres,4.2,735
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,Land,Land Consumed,High,acres,4.2,840
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,Land,Land Consumed,High,acres,4.2,945
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,Land,Land Consumed,High,acres,4.2,1050
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,Land,Land Consumed,High,acres,4.2,1155
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,Land,Land Consumed,High,acres,4.2,1260
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,Land,Land Consumed,High,acres,4.2,1365
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,Land,Land Consumed,High,acres,4.2,1470
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,Land,Land Consumed,High,acres,4.2,1575
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,Land,Land Consumed,High,acres,4.2,1680
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,Land,Land Consumed,High,acres,4.2,1680
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,Land,Land Consumed,High,acres,4.2,1680
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,Land,Land Consumed,High,acres,4.2,1680
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,Land,Land Consumed,High,acres,4.2,1680
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,Land,Land Consumed,High,acres,4.2,1680
Solar,PV,Electricity,Megawatts,MW,2025,1000,Land,Land Impacted,High,acres,5.25,5250
Solar,PV,Electricity,Megawatts,MW,2026,2000,Land,Land Impacted,High,acres,5.25,10500
Solar,PV,Electricity,Megawatts,MW,2027,3000,Land,Land Impacted,High,acres,5.25,15750
Solar,PV,Electricity,Megawatts,MW,2028,4000,Land,Land Impacted,High,acres,5.25,21000
Solar,PV,Electricity,Megawatts,MW,2029,5000,Land,Land Impacted,High,acres,5.25,26250
Solar,PV,Electricity,Megawatts,MW,2030,6000,Land,Land Impacted,High,acres,5.25,31500
Solar,PV,Electricity,Megawatts,MW,2031,7000,Land,Land Impacted,High,acres,5.25,36750
Solar,PV,Electricity,Megawatts,MW,2032,8000,Land,Land Impacted,High,acres,5.25,42000
Solar,PV,Electricity,Megawatts,MW,2033,9000,Land,Land Impacted,High,acres,5.25,47250
Solar,PV,Electricity,Megawatts,MW,2034,10000,Land,Land Impacted,High,acres,5.25,52500
Solar,PV,Electricity,Megawatts,MW,2035,11000,Land,Land Impacted,High,acres,5.25,57750
Solar,PV,Electricity,Megawatts,MW,2036,12000,Land,Land Impacted,High,acres,5.25,63000
Solar,PV,Electricity,Megawatts,MW,2037,13000,Land,Land Impacted,High,acres,5.25,68250
Solar,PV,Electricity,Megawatts,MW,2038,14000,Land,Land Impacted,High,acres,5.25,73500
Solar,PV,Electricity,Megawatts,MW,2039,15000,Land,Land Impacted,High,acres,5.25,78750
Solar,PV,Electricity,Megawatts,MW,2040,16000,Land,Land Impacted,High,acres,5.25,84000
Solar,PV,Electricity,Megawatts,MW,2041,17000,Land,Land Impacted,High,acres,5.25,89250
Solar,PV,Electricity,Megawatts,MW,2042,18000,Land,Land Impacted,High,acres,5.25,94500
Solar,PV,Electricity,Megawatts,MW,2043,19000,Land,Land Impacted,High,acres,5.25,99750
Solar,PV,Electricity,Megawatts,MW,2044,20000,Land,Land Impacted,High,acres,5.25,105000
Solar,PV,Electricity,Megawatts,MW,2045,20000,Land,Land Impacted,High,acres,5.25,105000
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Land,Land Impacted,High,acres,0.10245,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Land,Land Impacted,High,acres,0.10245,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Land,Land Impacted,High,acres,0.10245,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Land,Land Impacted,High,acres,0.10245,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Land,Land Impacted,High,acres,0.10245,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Land,Land Impacted,High,acres,0.10245,1024.5
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,Land,Land Impacted,High,acres,123,3075
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,Land,Land Impacted,High,acres,123,6150
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,Land,Land Impacted,High,acres,123,9225
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,Land,Land Impacted,High,acres,123,12300
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,Land,Land Impacted,High,acres,123,15375
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,Land,Land Impacted,High,acres,123,18450
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,Land,Land Impacted,High,acres,123,21525
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,Land,Land Impacted,High,acres,123,24600
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,Land,Land Impacted,High,acres,123,27675
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,Land,Land Impacted,High,acres,123,30750
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,Land,Land Impacted,High,acres,123,33825
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,Land,Land Impacted,High,acres,123,36900
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,Land,Land Impacted,High,acres,123,39975
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,Land,Land Impacted,High,acres,123,43050
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,Land,Land Impacted,High,acres,123,46125
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,Land,Land Impacted,High,acres,123,49200
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,Land,Land Impacted,High,acres,123,49200
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,Land,Land Impacted,High,acres,123,49200
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,Land,Land Impacted,High,acres,123,49200
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,Land,Land Impacted,High,acres,123,49200
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,Land,Land Impacted,High,acres,123,49200
Solar,PV,Electricity,Megawatts,MW,2025,1000,Land,Land Consumed,Low,acres,2.8,2800
Solar,PV,Electricity,Megawatts,MW,2026,2000,Land,Land Consumed,Low,acres,2.8,5600
Solar,PV,Electricity,Megawatts,MW,2027,3000,Land,Land Consumed,Low,acres,2.8,8400
Solar,PV,Electricity,Megawatts,MW,2028,4000,Land,Land Consumed,Low,acres,2.8,11200
Solar,PV,Electricity,Megawatts,MW,2029,5000,Land,Land Consumed,Low,acres,2.8,14000
Solar,PV,Electricity,Megawatts,MW,2030,6000,Land,Land Consumed,Low,acres,2.8,16800
Solar,PV,Electricity,Megawatts,MW,2031,7000,Land,Land Consumed,Low,acres,2.8,19600
Solar,PV,Electricity,Megawatts,MW,2032,8000,Land,Land Consumed,Low,acres,2.8,22400
Solar,PV,Electricity,Megawatts,MW,2033,9000,Land,Land Consumed,Low,acres,2.8,25200
Solar,PV,Electricity,Megawatts,MW,2034,10000,Land,Land Consumed,Low,acres,2.8,28000
Solar,PV,Electricity,Megawatts,MW,2035,11000,Land,Land Consumed,Low,acres,2.8,30799.999999999996
Solar,PV,Electricity,Megawatts,MW,2036,12000,Land,Land Consumed,Low,acres,2.8,33600
Solar,PV,Electricity,Megawatts,MW,2037,13000,Land,Land Consumed,Low,acres,2.8,36400
Solar,PV,Electricity,Megawatts,MW,2038,14000,Land,Land Consumed,Low,acres,2.8,39200
Solar,PV,Electricity,Megawatts,MW,2039,15000,Land,Land Consumed,Low,acres,2.8,42000
Solar,PV,Electricity,Megawatts,MW,2040,16000,Land,Land Consumed,Low,acres,2.8,44800
Solar,PV,Electricity,Megawatts,MW,2041,17000,Land,Land Consumed,Low,acres,2.8,47600
Solar,PV,Electricity,Megawatts,MW,2042,18000,Land,Land Consumed,Low,acres,2.8,50400
Solar,PV,Electricity,Megawatts,MW,2043,19000,Land,Land Consumed,Low,acres,2.8,53200
Solar,PV,Electricity,Megawatts,MW,2044,20000,Land,Land Consumed,Low,acres,2.8,56000
Solar,PV,Electricity,Megawatts,MW,2045,20000,Land,Land Consumed,Low,acres,2.8,56000
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Land,Land Consumed,Low,acres,0.05464,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Land,Land Consumed,Low,acres,0.05464,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Land,Land Consumed,Low,acres,0.05464,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Land,Land Consumed,Low,acres,0.05464,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Land,Land Consumed,Low,acres,0.05464,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Land,Land Consumed,Low,acres,0.05464,546.4
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,Land,Land Consumed,Low,acres,0.8,20
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,Land,Land Consumed,Low,acres,0.8,40
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,Land,Land Consumed,Low,acres,0.8,60
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,Land,Land Consumed,Low,acres,0.8,80
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,Land,Land Consumed,Low,acres,0.8,100
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,Land,Land Consumed,Low,acres,0.8,120
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,Land,Land Consumed,Low,acres,0.8,140
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,Land,Land Consumed,Low,acres,0.8,160
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,Land,Land Consumed,Low,acres,0.8,180
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,Land,Land Consumed,Low,acres,0.8,200
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,Land,Land Consumed,Low,acres,0.8,220
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,Land,Land Consumed,Low,acres,0.8,240
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,Land,Land Consumed,Low,acres,0.8,260
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,Land,Land Consumed,Low,acres,0.8,280
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,Land,Land Consumed,Low,acres,0.8,300
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,Land,Land Consumed,Low,acres,0.8,320
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,Land,Land Consumed,Low,acres,0.8,320
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,Land,Land Consumed,Low,acres,0.8,320
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,Land,Land Consumed,Low,acres,0.8,320
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,Land,Land Consumed,Low,acres,0.8,320
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,Land,Land Consumed,Low,acres,0.8,320
Solar,PV,Electricity,Megawatts,MW,2025,1000,Land,Land Impacted,Low,acres,3.4999999999999996,3499.9999999999995
Solar,PV,Electricity,Megawatts,MW,2026,2000,Land,Land Impacted,Low,acres,3.4999999999999996,6999.999999999999
Solar,PV,Electricity,Megawatts,MW,2027,3000,Land,Land Impacted,Low,acres,3.4999999999999996,10499.999999999998
Solar,PV,Electricity,Megawatts,MW,2028,4000,Land,Land Impacted,Low,acres,3.4999999999999996,13999.999999999998
Solar,PV,Electricity,Megawatts,MW,2029,5000,Land,Land Impacted,Low,acres,3.4999999999999996,17499.999999999996
Solar,PV,Electricity,Megawatts,MW,2030,6000,Land,Land Impacted,Low,acres,3.4999999999999996,20999.999999999996
Solar,PV,Electricity,Megawatts,MW,2031,7000,Land,Land Impacted,Low,acres,3.4999999999999996,24499.999999999996
Solar,PV,Electricity,Megawatts,MW,2032,8000,Land,Land Impacted,Low,acres,3.4999999999999996,27999.999999999996
Solar,PV,Electricity,Megawatts,MW,2033,9000,Land,Land Impacted,Low,acres,3.4999999999999996,31499.999999999996
Solar,PV,Electricity,Megawatts,MW,2034,10000,Land,Land Impacted,Low,acres,3.4999999999999996,34999.99999999999
Solar,PV,Electricity,Megawatts,MW,2035,11000,Land,Land Impacted,Low,acres,3.4999999999999996,38499.99999999999
Solar,PV,Electricity,Megawatts,MW,2036,12000,Land,Land Impacted,Low,acres,3.4999999999999996,41999.99999999999
Solar,PV,Electricity,Megawatts,MW,2037,13000,Land,Land Impacted,Low,acres,3.4999999999999996,45499.99999999999
Solar,PV,Electricity,Megawatts,MW,2038,14000,Land,Land Impacted,Low,acres,3.4999999999999996,48999.99999999999
Solar,PV,Electricity,Megawatts,MW,2039,15000,Land,Land Impacted,Low,acres,3.4999999999999996,52499.99999999999
Solar,PV,Electricity,Megawatts,MW,2040,16000,Land,Land Impacted,Low,acres,3.4999999999999996,55999.99999999999
Solar,PV,Electricity,Megawatts,MW,2041,17000,Land,Land Impacted,Low,acres,3.4999999999999996,59499.99999999999
Solar,PV,Electricity,Megawatts,MW,2042,18000,Land,Land Impacted,Low,acres,3.4999999999999996,62999.99999999999
Solar,PV,Electricity,Megawatts,MW,2043,19000,Land,Land Impacted,Low,acres,3.4999999999999996,66499.99999999999
Solar,PV,Electricity,Megawatts,MW,2044,20000,Land,Land Impacted,Low,acres,3.4999999999999996,69999.99999999999
Solar,PV,Electricity,Megawatts,MW,2045,20000,Land,Land Impacted,Low,acres,3.4999999999999996,69999.99999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Land,Land Impacted,Low,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Land,Land Impacted,Low,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Land,Land Impacted,Low,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Land,Land Impacted,Low,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Land,Land Impacted,Low,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Land,Land Impacted,Low,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Land,Land Impacted,Low,acres,0.0683,683
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,Land,Land Impacted,Low,acres,24,600
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,Land,Land Impacted,Low,acres,24,1200
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,Land,Land Impacted,Low,acres,24,1800
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,Land,Land Impacted,Low,acres,24,2400
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,Land,Land Impacted,Low,acres,24,3000
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,Land,Land Impacted,Low,acres,24,3600
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,Land,Land Impacted,Low,acres,24,4200
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,Land,Land Impacted,Low,acres,24,4800
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,Land,Land Impacted,Low,acres,24,5400
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,Land,Land Impacted,Low,acres,24,6000
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,Land,Land Impacted,Low,acres,24,6600
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,Land,Land Impacted,Low,acres,24,7200
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,Land,Land Impacted,Low,acres,24,7800
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,Land,Land Impacted,Low,acres,24,8400
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,Land,Land Impacted,Low,acres,24,9000
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,Land,Land Impacted,Low,acres,24,9600
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,Land,Land Impacted,Low,acres,24,9600
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,Land,Land Impacted,Low,acres,24,9600
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,Land,Land Impacted,Low,acres,24,9600
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,Land,Land Impacted,Low,acres,24,9600
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,Land,Land Impacted,Low,acres,24,9600
Solar,PV,Electricity,Megawatts,MW,2025,1000,Land,Land Consumed,Nominal,acres,3.5,3500
