Feedstock,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value
Natural Gas,Hydrogen,Metric Tons,MT,2040,10950,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,94.09208503272967
Natural Gas,Hydrogen,Metric Tons,MT,2041,10950,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,94.09208503272967
Natural Gas,Hydrogen,Metric Tons,MT,2042,10950,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,94.09208503272967
Natural Gas,Hydrogen,Metric Tons,MT,2043,10950,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,94.09208503272967
Natural Gas,Hydrogen,Metric Tons,MT,2044,10950,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,94.09208503272967
Natural Gas,Hydrogen,Metric Tons,MT,2045,10950,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,94.09208503272967
Solar,Hydrogen,Metric Tons,MT,2025,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,Hydrogen,Metric Tons,MT,2026,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,Hydrogen,Metric Tons,MT,2027,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,Hydrogen,Metric Tons,MT,2028,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,Hydrogen,Metric Tons,MT,2029,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,Hydrogen,Metric Tons,MT,2030,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2031,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2032,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2033,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2034,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2035,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2036,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2037,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2038,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2039,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2040,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2041,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2042,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2043,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2044,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Solar,Hydrogen,Metric Tons,MT,2045,96000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,1207.9140466041226
Natural Gas,Hydrogen,Metric Tons,MT,2025,0,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,0
Natural Gas,Hydrogen,Metric Tons,MT,2026,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2027,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2028,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2029,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2030,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2031,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2032,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2033,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2034,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2035,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2036,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2037,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2038,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2039,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2040,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2041,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2042,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2043,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2044,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Natural Gas,Hydrogen,Metric Tons,MT,2045,10950,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,107.26497693731183
Solar,Hydrogen,Metric Tons,MT,2025,0,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,0
Solar,Hydrogen,Metric Tons,MT,2026,0,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,0
Solar,Hydrogen,Metric Tons,MT,2027,0,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,0
Solar,Hydrogen,Metric Tons,MT,2028,0,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,0
Solar,Hydrogen,Metric Tons,MT,2029,0,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,0
Solar,Hydrogen,Metric Tons,MT,2030,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2031,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2032,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2033,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2034,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2035,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2036,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2037,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2038,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2039,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2040,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2041,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2042,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2043,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2044,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
Solar,Hydrogen,Metric Tons,MT,2045,96000,Water Quantity,Water Withdrawal,acre-feet per year,0.018496183838625627,1775.63364850806
