Portfolio,year,Feedstock,Commodity,Commodity Unit,Unit Code,Buildout,Variable Category,Variable Subcategory,Variable Unit,Conversion Value,Value,Uncertainty Range Category
Current Projects 1.29.2024,2045,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2025,Solar,Electricity,Megawatts,MW,1209.090909090909,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,NA
Current Projects 1.29.2024,2026,Solar,Electricity,Megawatts,MW,2418.181818181818,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,NA
Current Projects 1.29.2024,2027,Solar,Electricity,Megawatts,MW,3627.272727272727,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,NA
Current Projects 1.29.2024,2028,Solar,Electricity,Megawatts,MW,4836.363636363636,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,NA
Current Projects 1.29.2024,2029,Solar,Electricity,Megawatts,MW,6045.454545454545,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,NA
Current Projects 1.29.2024,2030,Solar,Electricity,Megawatts,MW,7254.545454545454,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,NA
Current Projects 1.29.2024,2031,Solar,Electricity,Megawatts,MW,8463.636363636364,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090914,NA
Current Projects 1.29.2024,2032,Solar,Electricity,Megawatts,MW,9672.727272727272,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090903,NA
Current Projects 1.29.2024,2033,Solar,Electricity,Megawatts,MW,10881.81818181818,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090903,NA
Current Projects 1.29.2024,2034,Solar,Electricity,Megawatts,MW,12090.909090909088,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090903,NA
Current Projects 1.29.2024,2035,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090924,NA
Current Projects 1.29.2024,2036,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2037,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2038,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2039,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2040,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2041,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2042,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2043,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2044,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2045,Solar,Electricity,Megawatts,MW,13300,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2025,Solar,Electricity,Megawatts,MW,1209.090909090909,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363634,NA
Current Projects 1.29.2024,2026,Solar,Electricity,Megawatts,MW,2418.181818181818,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363634,NA
Current Projects 1.29.2024,2027,Solar,Electricity,Megawatts,MW,3627.272727272727,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363634,NA
Current Projects 1.29.2024,2028,Solar,Electricity,Megawatts,MW,4836.363636363636,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363634,NA
Current Projects 1.29.2024,2029,Solar,Electricity,Megawatts,MW,6045.454545454545,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363634,NA
Current Projects 1.29.2024,2030,Solar,Electricity,Megawatts,MW,7254.545454545454,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363634,NA
Current Projects 1.29.2024,2031,Solar,Electricity,Megawatts,MW,8463.636363636364,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.09636363636366,NA
Current Projects 1.29.2024,2032,Solar,Electricity,Megawatts,MW,9672.727272727272,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363606,NA
Current Projects 1.29.2024,2033,Solar,Electricity,Megawatts,MW,10881.81818181818,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363606,NA
Current Projects 1.29.2024,2034,Solar,Electricity,Megawatts,MW,12090.909090909088,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.096363636363606,NA
Current Projects 1.29.2024,2035,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,34.09636363636371,NA
Current Projects 1.29.2024,2036,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2037,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2038,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2039,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2040,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2041,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2042,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2043,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2044,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2045,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2025,Solar,Electricity,Megawatts,MW,1209.090909090909,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454545,NA
Current Projects 1.29.2024,2026,Solar,Electricity,Megawatts,MW,2418.181818181818,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454545,NA
Current Projects 1.29.2024,2027,Solar,Electricity,Megawatts,MW,3627.272727272727,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454545,NA
Current Projects 1.29.2024,2028,Solar,Electricity,Megawatts,MW,4836.363636363636,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454545,NA
Current Projects 1.29.2024,2029,Solar,Electricity,Megawatts,MW,6045.454545454545,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454545,NA
Current Projects 1.29.2024,2030,Solar,Electricity,Megawatts,MW,7254.545454545454,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454545,NA
Current Projects 1.29.2024,2031,Solar,Electricity,Megawatts,MW,8463.636363636364,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454549,NA
Current Projects 1.29.2024,2032,Solar,Electricity,Megawatts,MW,9672.727272727272,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454542,NA
Current Projects 1.29.2024,2033,Solar,Electricity,Megawatts,MW,10881.81818181818,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454542,NA
Current Projects 1.29.2024,2034,Solar,Electricity,Megawatts,MW,12090.909090909088,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454542,NA
Current Projects 1.29.2024,2035,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,41.83454545454555,NA
Current Projects 1.29.2024,2036,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2037,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2038,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2039,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2040,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2041,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2042,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2043,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2044,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2045,Solar,Electricity,Megawatts,MW,13300,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2025,Solar,Hydrogen,Metric Tons,MT,17590.909090909092,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363636,NA
Current Projects 1.29.2024,2026,Solar,Hydrogen,Metric Tons,MT,35181.818181818184,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363636,NA
Current Projects 1.29.2024,2027,Solar,Hydrogen,Metric Tons,MT,52772.72727272728,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363638,NA
Current Projects 1.29.2024,2028,Solar,Hydrogen,Metric Tons,MT,70363.63636363637,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2029,Solar,Hydrogen,Metric Tons,MT,87954.54545454546,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2030,Solar,Hydrogen,Metric Tons,MT,105545.45454545454,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2031,Solar,Hydrogen,Metric Tons,MT,123136.36363636365,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2032,Solar,Hydrogen,Metric Tons,MT,140727.27272727274,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363641,NA
Current Projects 1.29.2024,2033,Solar,Hydrogen,Metric Tons,MT,158318.18181818182,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2034,Solar,Hydrogen,Metric Tons,MT,175909.0909090909,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2035,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,587.5363636363635,NA
Current Projects 1.29.2024,2036,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2037,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2038,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2039,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2040,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2041,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2042,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2043,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2044,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2045,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2025,Solar,Hydrogen,Metric Tons,MT,17590.909090909092,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2026,Solar,Hydrogen,Metric Tons,MT,35181.818181818184,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2027,Solar,Hydrogen,Metric Tons,MT,52772.72727272728,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090912,NA
Current Projects 1.29.2024,2028,Solar,Hydrogen,Metric Tons,MT,70363.63636363637,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2029,Solar,Hydrogen,Metric Tons,MT,87954.54545454546,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2030,Solar,Hydrogen,Metric Tons,MT,105545.45454545454,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2031,Solar,Hydrogen,Metric Tons,MT,123136.36363636365,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2032,Solar,Hydrogen,Metric Tons,MT,140727.27272727274,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090916,NA
Current Projects 1.29.2024,2033,Solar,Hydrogen,Metric Tons,MT,158318.18181818182,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2034,Solar,Hydrogen,Metric Tons,MT,175909.0909090909,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2035,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,98.86090909090908,NA
Current Projects 1.29.2024,2036,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2037,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2038,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2039,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2040,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2041,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2042,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2043,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2044,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2045,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,Graduate Degree,# of New Jobs,0.00562,0,NA
Current Projects 1.29.2024,2025,Solar,Hydrogen,Metric Tons,MT,17590.909090909092,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2026,Solar,Hydrogen,Metric Tons,MT,35181.818181818184,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2027,Solar,Hydrogen,Metric Tons,MT,52772.72727272728,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636365,NA
Current Projects 1.29.2024,2028,Solar,Hydrogen,Metric Tons,MT,70363.63636363637,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2029,Solar,Hydrogen,Metric Tons,MT,87954.54545454546,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2030,Solar,Hydrogen,Metric Tons,MT,105545.45454545454,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2031,Solar,Hydrogen,Metric Tons,MT,123136.36363636365,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2032,Solar,Hydrogen,Metric Tons,MT,140727.27272727274,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636367,NA
Current Projects 1.29.2024,2033,Solar,Hydrogen,Metric Tons,MT,158318.18181818182,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2034,Solar,Hydrogen,Metric Tons,MT,175909.0909090909,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2035,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,496.0636363636363,NA
Current Projects 1.29.2024,2036,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2037,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2038,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2039,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2040,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2041,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2042,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2043,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2044,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2045,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - Long-Term Training,# of New Jobs,0.0282,0,NA
Current Projects 1.29.2024,2025,Solar,Hydrogen,Metric Tons,MT,17590.909090909092,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454545,NA
Current Projects 1.29.2024,2026,Solar,Hydrogen,Metric Tons,MT,35181.818181818184,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454545,NA
Current Projects 1.29.2024,2027,Solar,Hydrogen,Metric Tons,MT,52772.72727272728,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454546,NA
Current Projects 1.29.2024,2028,Solar,Hydrogen,Metric Tons,MT,70363.63636363637,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2029,Solar,Hydrogen,Metric Tons,MT,87954.54545454546,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2030,Solar,Hydrogen,Metric Tons,MT,105545.45454545454,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2031,Solar,Hydrogen,Metric Tons,MT,123136.36363636365,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2032,Solar,Hydrogen,Metric Tons,MT,140727.27272727274,Jobs,High School - No Training,# of New Jobs,0.0346,608.645454545455,NA
Current Projects 1.29.2024,2033,Solar,Hydrogen,Metric Tons,MT,158318.18181818182,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2034,Solar,Hydrogen,Metric Tons,MT,175909.0909090909,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2035,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,608.6454545454544,NA
Current Projects 1.29.2024,2036,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2037,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2038,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2039,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2040,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2041,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2042,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2043,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2044,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2045,Solar,Hydrogen,Metric Tons,MT,193500,Jobs,High School - No Training,# of New Jobs,0.0346,0,NA
Current Projects 1.29.2024,2025,Wind,Electricity,Megawatts,MW,24.545454545454547,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.49090909090909096,NA
Current Projects 1.29.2024,2026,Wind,Electricity,Megawatts,MW,49.09090909090909,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.49090909090909096,NA
Current Projects 1.29.2024,2027,Wind,Electricity,Megawatts,MW,73.63636363636364,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.49090909090909096,NA
Current Projects 1.29.2024,2028,Wind,Electricity,Megawatts,MW,98.1818181818182,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.49090909090909096,NA
Current Projects 1.29.2024,2029,Wind,Electricity,Megawatts,MW,122.72727272727272,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.49090909090909096,NA
Current Projects 1.29.2024,2030,Wind,Electricity,Megawatts,MW,147.27272727272728,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.49090909090909096,NA
Current Projects 1.29.2024,2031,Wind,Electricity,Megawatts,MW,171.8181818181818,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.4909090909090907,NA
Current Projects 1.29.2024,2032,Wind,Electricity,Megawatts,MW,196.36363636363637,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.4909090909090912,NA
Current Projects 1.29.2024,2033,Wind,Electricity,Megawatts,MW,220.9090909090909,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.4909090909090912,NA
Current Projects 1.29.2024,2034,Wind,Electricity,Megawatts,MW,245.4545454545455,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.4909090909090912,NA
Current Projects 1.29.2024,2035,Wind,Electricity,Megawatts,MW,270,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,0.4909090909090901,NA
